Date,Name,Year,Letterboxd URI,Rating
2024-02-19,Evil Dead II,1987,https://boxd.it/29Ge,4
2024-02-21,Memento,2000,https://boxd.it/2bcK,4.5
2024-02-25,Vivarium,2019,https://boxd.it/gmVE,1.5
2024-02-28,Raging Bull,1980,https://boxd.it/28yI,4
2024-03-03,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-03,Dune,2021,https://boxd.it/fA7G,4.5
2024-03-07,Elvis,2022,https://boxd.it/mK4w,2
2024-03-21,Vertigo,1958,https://boxd.it/2apI,5
2024-03-21,Looper,2012,https://boxd.it/ham,3
2024-03-21,The Conversation,1974,https://boxd.it/2a38,4.5
2024-03-21,Full Metal Jacket,1987,https://boxd.it/2a1Q,5
2024-03-21,Oldboy,2003,https://boxd.it/29R2,3.5
2024-03-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2024-03-22,Spaceman,2024,https://boxd.it/nC20,4
2024-03-25,The Gray Man,2022,https://boxd.it/rb7q,1.5
2024-03-28,Back to the Future,1985,https://boxd.it/2b8e,4.5
2024-04-02,The Hangover,2009,https://boxd.it/1GjK,3.5
2024-04-04,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.5
2024-04-04,The Power of the Dog,2021,https://boxd.it/m99E,3
2024-04-10,In the Mood for Love,2000,https://boxd.it/29tE,5
2024-04-11,Rashomon,1950,https://boxd.it/2a9K,5
2024-04-16,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-04-24,Capturing the Friedmans,2003,https://boxd.it/2748,3.5
2024-05-28,The Equalizer,2014,https://boxd.it/4TUK,3.5
2024-05-29,The Lighthouse,2019,https://boxd.it/icFU,5
2024-06-03,Inside Man,2006,https://boxd.it/2auS,5
2024-06-04,Starship Troopers,1997,https://boxd.it/2a7k,4
2024-06-06,Mad Max,1979,https://boxd.it/1Y7i,3
2024-06-06,Cloverfield,2008,https://boxd.it/2192,4
2024-06-06,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2024-06-08,The Holdovers,2023,https://boxd.it/vHza,4
2024-06-09,Dazed and Confused,1993,https://boxd.it/1Ylk,5
2024-06-11,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2024-06-23,Inside Out,2015,https://boxd.it/4KHC,3
2024-06-29,Heat,1995,https://boxd.it/2bg8,4.5
2024-06-30,Apocalypse Now,1979,https://boxd.it/6ZS,4.5
2024-07-14,Pan's Labyrinth,2006,https://boxd.it/28No,4.5
2024-08-08,Reservoir Dogs,1992,https://boxd.it/2agc,4
2024-08-15,Se7en,1995,https://boxd.it/29zs,4
2024-08-16,Taxi Driver,1976,https://boxd.it/2b8y,4
2024-08-18,Bottle Rocket,1996,https://boxd.it/1PDa,4
2024-08-20,The Manchurian Candidate,2004,https://boxd.it/1O2M,3.5
2024-08-22,Bottoms,2023,https://boxd.it/uGf2,4.5
2024-08-22,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3
2024-08-31,The Boondock Saints,1999,https://boxd.it/20gw,3
2024-12-10,Spectre,2015,https://boxd.it/6bXY,3
2024-12-10,Snatch,2000,https://boxd.it/2b7U,3.5
2024-12-18,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2024-12-18,Lady Bird,2017,https://boxd.it/dGNE,3.5
2024-12-20,Watchmen,2009,https://boxd.it/1QE4,2
2024-12-20,Train to Busan,2016,https://boxd.it/dSQU,4.5
2024-12-21,The Wicker Man,1973,https://boxd.it/1KnG,3.5
2025-01-04,Lone Star,1996,https://boxd.it/1tge,4
2025-01-04,Gladiator,2000,https://boxd.it/2b9m,4
2025-01-04,Gladiator II,2024,https://boxd.it/kqQQ,3.5
2025-01-04,Blade Runner,1982,https://boxd.it/2bcA,4.5
2025-01-05,Past Lives,2023,https://boxd.it/oNB8,5
2025-01-06,Baby Driver,2017,https://boxd.it/bhF2,4
